name,class,drug_name
suicidality,Major,Abilify
dementia,Major,Abilify
acute alcohol intoxication,Major,Abilify
CNS depression,Major,Abilify
NMS,Major,Abilify
tardive dyskinesia,Major,Abilify
aspiration,Moderate,Abilify
seizure,Moderate,Abilify
hematologic abnormalities,Moderate,Abilify
hyperglycemia/diabetes,Moderate,Abilify
hypotension,Moderate,Abilify
lipid alterations,Moderate,Abilify
weight gain,Moderate,Abilify
anticholinergic effects,Moderate,Abilify
hyperprolactinemia,Moderate,Abilify
liver disease,Moderate,Abilify
parkinsonism,Moderate,Abilify
suicidality,Major,Abilify Maintena
dementia,Major,Abilify Maintena
acute alcohol intoxication,Major,Abilify Maintena
CNS depression,Major,Abilify Maintena
NMS,Major,Abilify Maintena
tardive dyskinesia,Major,Abilify Maintena
aspiration,Moderate,Abilify Maintena
seizure,Moderate,Abilify Maintena
hematologic abnormalities,Moderate,Abilify Maintena
hyperglycemia/diabetes,Moderate,Abilify Maintena
hypotension,Moderate,Abilify Maintena
lipid alterations,Moderate,Abilify Maintena
weight gain,Moderate,Abilify Maintena
anticholinergic effects,Moderate,Abilify Maintena
hyperprolactinemia,Moderate,Abilify Maintena
liver disease,Moderate,Abilify Maintena
parkinsonism,Moderate,Abilify Maintena
hepatic impairment,Major,Abiraterone
CVD,Moderate,Abiraterone
alcoholism,Major,Acetaminophen and Hydrocodone
liver disease,Major,Acetaminophen and Hydrocodone
impaired GI motility,Major,Acetaminophen and Hydrocodone
infectious diarrhea,Major,Acetaminophen and Hydrocodone
liver disease,Major,Acetaminophen and Hydrocodone
prematurity,Major,Acetaminophen and Hydrocodone
acute alcohol intoxication,Major,Acetaminophen and Hydrocodone
drug dependence,Major,Acetaminophen and Hydrocodone
gastrointestinal obstruction,Major,Acetaminophen and Hydrocodone
hypotension,Major,Acetaminophen and Hydrocodone
intracranial pressure,Major,Acetaminophen and Hydrocodone
respiratory depression,Major,Acetaminophen and Hydrocodone
 PKU,Moderate,Acetaminophen and Hydrocodone
adrenal insufficiency,Moderate,Acetaminophen and Hydrocodone
biliary spasm,Moderate,Acetaminophen and Hydrocodone
hypothyroidism,Moderate,Acetaminophen and Hydrocodone
renal dysfunction,Moderate,Acetaminophen and Hydrocodone
seizure disorders,Moderate,Acetaminophen and Hydrocodone
