DID_id,src_nm,src_id,drug_raw_name,cas_cas_no,cas_pt,cas_source,cas_match,chebi_pt,chebi_id,chebi_cas_no,chebi_match,chebi_syn,chebi_syn_match,chebi_match_aid,chemid_pt,chemid_display_name,chemid_id,chemi_match,chemid_syn,chemid_syn_match,chemid_match_aid,ctd_pt,ctd_mesh_id,ctd_cas_no,ctd_match,ctd_syn,ctd_syn_match,ctd_match_aid,umls_pt,umls_cui,umls_match,umls_syn,umls_syn_match,umls_match_aid,umls_sem_typ1,umls_sem_typ2,umls_sem_typ3,umls_sem_typ4,ind_raw,ind_agg,_ind_search,ind_raw_value,ind_raw_target,ind_raw_match,ind_umls_entry_term_match,ind_umls_entry_term,ind_umls_pt,und_umls_cuii,ind_umls_term_typ,ind_umls_pheno_flg,ind_umls_sem_typ1,ind_umls_sem_typ2,ind_umls_sem_typ3,ind_umls_sem_typ4,ind_umls_in_term_match,ind_umls_in_term,ind_umls_in_pt,ind_umls_in_cui,ind_umls_in_term_typ,ind_umls_in_sem_typ1,ind_umls_in_sem_typ2,ind_umls_in_sem_typ3,ind_umls_in_sem_typ4
1_000001,NDFRT,C0016157,Fish Oils,8016-13-5,Fish oil,ChemID+,<syn per source>,,,,,,,,Fish oil,,8016-13-5,syn plural/singular,Fish oils,exact,,Fish Oils,D005395,,exact,,,,Fish Oils,C0016157,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.3_Biologically Active Substance,A1.4.1.2.1.9_Lipid,,may_prevent,,#VALUE!,Arrhythmia,Arrhythmia,Y,exact (CUI-based),arrhythmia,Cardiac Arrhythmia,C0003811,S,Y,B2.2.1.2_Pathologic Function,,,,,,,,,,,,
1_000002,NDFRT,C0016157,Fish Oils,8016-13-5,Fish oil,ChemID+,<syn per source>,,,,,,,,Fish oil,,8016-13-5,syn plural/singular,Fish oils,exact,,Fish Oils,D005395,,exact,,,,Fish Oils,C0016157,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.3_Biologically Active Substance,A1.4.1.2.1.9_Lipid,,may_treat,,#VALUE!,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",Y,exact (CUI-based),"arthritis, rheumatoid",Rheumatoid Arthritis,C0003873,S,Y,B2.2.1.2.1_Disease or Syndrome,,,,,,,,,,,,
1_000003,NDFRT,C0016157,Fish Oils,8016-13-5,Fish oil,ChemID+,<syn per source>,,,,,,,,Fish oil,,8016-13-5,syn plural/singular,Fish oils,exact,,Fish Oils,D005395,,exact,,,,Fish Oils,C0016157,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.3_Biologically Active Substance,A1.4.1.2.1.9_Lipid,,may_treat,,#VALUE!,"Fatigue Syndrome, Chronic","Fatigue Syndrome, Chronic",Y,exact (CUI-based),"fatigue syndrome, chronic",Chronic Fatigue Syndrome,C0015674,S,Y,B2.2.1.2.1_Disease or Syndrome,,,,,,,,,,,,
1_000004,NDFRT,C0016157,Fish Oils,8016-13-5,Fish oil,ChemID+,<syn per source>,,,,,,,,Fish oil,,8016-13-5,syn plural/singular,Fish oils,exact,,Fish Oils,D005395,,exact,,,,Fish Oils,C0016157,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.3_Biologically Active Substance,A1.4.1.2.1.9_Lipid,,may_treat,,#VALUE!,Hyperlipidemia,Hyperlipidemia,Y,exact (CUI-based),Hyperlipidemia,Hyperlipidemia,C0020473,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,,,,,,,,,
1_000005,NDFRT,C0016157,Fish Oils,8016-13-5,Fish oil,ChemID+,<syn per source>,,,,,,,,Fish oil,,8016-13-5,syn plural/singular,Fish oils,exact,,Fish Oils,D005395,,exact,,,,Fish Oils,C0016157,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.3_Biologically Active Substance,A1.4.1.2.1.9_Lipid,,may_treat,,#VALUE!,Hypertension,Hypertension,Y,exact (CUI-based),hypertension,Hypertensive Disease,C0020538,S,Y,B2.2.1.2.1_Disease or Syndrome,,,,,,,,,,,,
1_000006,MeSH_PA,D015718,Fibrin Tissue Adhesive,103170-82-7,Fibrin Tissue Adhesive,ChemID+,exact,,,,,,,,Fibrin Tissue Adhesive,,103170-82-7,exact,,,,,,,,,,,Fibrin Tissue Adhesive,C0016004,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.2_Biomedical or Dental Material,"A1.4.1.2.1.7_Amino Acid, Peptide, or Protein",,,,#VALUE!,Coagulants,Coagulants,Y,quasi syn therclass-to-disease,Clotting Decreased,Clotting Decreased,C0549625,P,Y,A2.2_Finding,,,,exact (CUI-based),Coagulants,Coagulants,C0009117,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000007,MeSH_PA,D015718,Fibrin Tissue Adhesive,103170-82-7,Fibrin Tissue Adhesive,ChemID+,exact,,,,,,,,Fibrin Tissue Adhesive,,103170-82-7,exact,,,,,,,,,,,Fibrin Tissue Adhesive,C0016004,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.2_Biomedical or Dental Material,"A1.4.1.2.1.7_Amino Acid, Peptide, or Protein",,,,#VALUE!,Hematologic Agents,Hematologic Agents,Y,quasi syn therclass-to-disease,Hematological Disease,Hematological Disease,C0018939,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,exact (CUI-based),Hematologic Agents,Hematologic Agents,C0018938,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000008,MeSH_PA,D015718,Fibrin Tissue Adhesive,103170-82-7,Fibrin Tissue Adhesive,ChemID+,exact,,,,,,,,Fibrin Tissue Adhesive,,103170-82-7,exact,,,,,,,,,,,Fibrin Tissue Adhesive,C0016004,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.2_Biomedical or Dental Material,"A1.4.1.2.1.7_Amino Acid, Peptide, or Protein",,static,,#VALUE!,Hemostatics,Hemostatics,Y,quasi syn therclass-to-disease,Hemorrhage,Hemorrhage,C0019080,P,Y,B2.2.1.2_Pathologic Function,,,,exact (CUI-based),hemostatics,Hemostatic Agents,C0019120,S,A1.4.1.1.1_Pharmacologic Substance,,,
1_000009,MeSH_PA,D015718,Fibrin Tissue Adhesive,103170-82-7,Fibrin Tissue Adhesive,ChemID+,exact,,,,,,,,Fibrin Tissue Adhesive,,103170-82-7,exact,,,,,,,,,,,Fibrin Tissue Adhesive,C0016004,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.2_Biomedical or Dental Material,"A1.4.1.2.1.7_Amino Acid, Peptide, or Protein",,,,#VALUE!,Surgical Fixation Devices,Surgical Fixation Devices,Y,exact (CUI-based),Surgical Fixation Devices,Surgical Fixation Devices,C1721086,P,,A1.3.1_Medical Device,,,,,,,,,,,,
1_000010,MeSH_PA,D015718,Fibrin Tissue Adhesive,103170-82-7,Fibrin Tissue Adhesive,ChemID+,exact,,,,,,,,Fibrin Tissue Adhesive,,103170-82-7,exact,,,,,,,,,,,Fibrin Tissue Adhesive,C0016004,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.1.2_Biomedical or Dental Material,"A1.4.1.2.1.7_Amino Acid, Peptide, or Protein",,,,#VALUE!,Tissue Adhesives,Tissue Adhesives,Y,quasi syn therclass-to-disease,Tissue Damage,Tissue Damage,C0010957,P,Y,B2.3_Injury or Poisoning,,,,exact (CUI-based),Tissue Adhesives,Tissue Adhesives,C0040277,P,A1.4.1.1.2_Biomedical or Dental Material,,,
