Drug class,drug_raw_name,treated_disease,description,side_effects,Dosage form,availability,score,reviews,drug_name
['Atypical antipsychotics'],aripiprazole,"Alcoholic Intoxication, Chronic",Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Anxiety Disorders,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Asperger Syndrome,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Attention Deficit Hyperactivity Disorder,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Autistic Disorder,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Bipolar Disorder,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,"Child Development Disorders, Pervasive",Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,"Dyskinesia, Drug-Induced",Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Enuresis,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Lactation Problem,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Huntington Disease,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Hyperactive Behavior,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
['Atypical antipsychotics'],aripiprazole,Mental Retardation,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",,Prescription only,59.8,1.0,Abilify
