interactions_url,Generic name,Drug class,availability,score,reviews,description,side_effects,drug name,Dosage form
"/drug-interactions/aripiprazole,abilify-index.html",['aripiprazole'],['Atypical antipsychotics'],Prescription only,59.8,1,Abilify is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",Abilify,
"/drug-interactions/aripiprazole,abilify-maintena-index.html",['aripiprazole'],['Atypical antipsychotics'],Prescription only,61.5,49,Abilify Maintena (aripiprazole) is a second-generation or atypical antipsychotic used to treat schizophrenia and bipolar I disorder. It is an extended-release injectable suspension of aripiprazole that only has to be given once a month.,"['See ""Important information"" above', 'Stroke (cerebrovascular problems) in elderly people with dementia', 'Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death Call your healthcare provider go to the nearest emergency room right away if you have some all of the following symptoms of NMS:\n\nhigh fever\nconfusion\nchanges in pulse, heart rate, and blood pressure\nstiff muscles\nsweating\n\n', 'high fever', 'confusion', 'changes in pulse, heart rate, and blood pressure', 'stiff muscles', 'sweating', 'Uncontrolled body movements (tardive dyskinesia) This medication may cause movements that you cannot control in your face, tongue, other body parts Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena Tardive dyskinesia may also start after you stop receiving this medication', 'Problems with your metabolism such as:\n\nhigh blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n\nIncreased fat levels (cholesterol and triglycerides) in your blood\nWeight gain You and your healthcare provider should check your weight regularly\n\n', 'high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication Extremely high blood sugar can lead to coma death If you have diabetes risk factors for diabetes (such as being overweight a family history of diabetes), your healthcare provider should check your blood sugar before you start receiving this medication and during your treatment\nCall your healthcare provider if you have any of these symptoms of high blood sugar while receiving Abilify Maintena:\n\nfeel very thirsty\nneed to urinate more than usual\nfeel very hungry\nfeel weak tired\nfeel sick to your stomach\nfeel confused, your breath smells fruity\n\n', 'feel very thirsty', 'need to urinate more than usual', 'feel very hungry', 'feel weak tired', 'feel sick to your stomach', 'feel confused, your breath smells fruity', 'Increased fat levels (cholesterol and triglycerides) in your blood', 'Weight gain You and your healthcare provider should check your weight regularly', 'Unusual urges Some people receiving this medication have had unusual urges such as gambling, binge eating eating that you cannot control (compulsive), compulsive shopping and sexual urges If you your family members notice that you are having unusual urges behaviors, talk to your healthcare provider', 'Decreased blood pressure (orthostatic hypotension) You may feel lightheaded faint when you rise too quickly from a sitting lying position', 'Low white blood cell count', 'Seizures (convulsions)', 'Problems controlling your body temperature so that you feel too warm See ""What should I avoid while receiving Abilify Maintena?""', 'Difficulty swallowing']",Abilify Maintena,extended-release intramuscular injection
/drug-interactions/abiraterone-index.html,abiraterone acetate,['Miscellaneous antineoplastics'],Prescription only,83.1,38,Abiraterone works by reducing androgen production in the body. Androgens are male hormones that can promote tumor growth in the prostate gland.,"['\nswelling in your ankles feet, pain in your legs\n', '\nfast irregular heartbeats\n', '\na light\n', '\nsevere headache, blurred vision, pounding in your neck ears\n', '\npain burning when you urinate\n', '\nlow red blood cells (anemia) \n', '\nlow blood potassium \n', '\nliver problems \n', '\nlow blood sugar \n']",Abiraterone,oral tablet
/drug-interactions/acetaminophen-hydrocodone-index.html,acetaminophen and hydrocodone,['Narcotic analgesic combinations'],Prescription only,61.1,1,Acetaminophen and hydrocodone is a combination medicine used to relieve moderate to moderately severe pain.,"['\nnoisy breathing, sighing, shallow breathing, breathing that stops during sleep\n', '\na light\n', '\nliver problems \n', '\nlow cortisol levels \n', '\nhigh levels of serotonin in the body \n']",Acetaminophen and Hydrocodone,
"/drug-interactions/pioglitazone,actos-index.html",['pioglitazone'],['Thiazolidinediones'],Prescription only,48.8,40,Actos is an oral diabetes medicine that helps control blood sugar levels.,"['\nshortness of breath (especially when lying down), unusual tiredness, swelling, rapid weight gain\n', '\npink red urine, painful difficult urination, new worsening urge to urinate\n', '\nchanges in your vision\n', '\nsudden unusual pain in your hand, arm, foot\n']",Actos,
/drug-interactions/acyclovir-index.html,acyclovir,['Purine nucleosides'],Prescription only,82.1,176,"Acyclovir is an antiviral drug that is used to treat symptoms of shingles, chickenpox, cold sores and genital herpes which are all caused by herpes viruses. It is also used to prevent having regular outbreaks of genital herpes. Acyclovir will not get rid of the virus infection but does help sores heal faster and helps with pain relief.","['\neasy bruising bleeding, purple red pinpoint spots under your skin\n', '\nchanges in behavior\n', '\nconfusion, hallucinations\n', '\nsigns of a kidney problem \n']",Acyclovir,
"/drug-interactions/amphetamine-dextroamphetamine,adderall-index.html",['amphetamine and dextroamphetamine'],['CNS stimulants'],Prescription only,75.5,420,Adderall is used to treat attention deficit hyperactivity disorder (ADHD) and narcolepsy. Adderall contains a combination of amphetamine and dextroamphetamine. Amphetamine and dextroamphetamine are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.,"['signs of heart problems', 'signs of psychosis', 'signs of circulation problems', 'a seizure (convulsions)', 'muscle twitches (tics)', 'changes in your vision']",Adderall,
"/drug-interactions/amphetamine-dextroamphetamine,adderall-xr-index.html",['amphetamine and dextroamphetamine'],['CNS stimulants'],Prescription only,79.8,207,Adderall XR are central nervous system stimulants that affect chemicals in the brain and nerves that contribute to hyperactivity and impulse control.,"['\nsigns of heart problems\n', '\nsigns of psychosis\n', '\nsigns of circulation problems\n', '\na seizure (convulsions)\n', '\nmuscle twitches (tics)\n', '\nchanges in your vision\n']",Adderall XR,
"/drug-interactions/fluticasone-salmeterol,advair-diskus-index.html",['fluticasone and salmeterol'],['Bronchodilator combinations'],Prescription only,72.3,105,Advair Diskus inhalation is a steroid and bronchodilator combination medicine that is used to prevent asthma attacks. It is also used to prevent flare-ups or worsening of chronic obstructive pulmonary disease (COPD) associated with chronic bronchitis and/or emphysema.,"['\nwheezing, choking, other breathing problems after using  Advair Diskus\n', '\nfever, chills, cough with mucus, feeling short of breath\n', '\nchest pain, fast irregular heartbeats, severe headache, pounding in your neck ears\n', '\ntremors, nervousness\n', '\nblurred vision, tunnel vision, eye pain, seeing halos around lights\n', '\nsigns of thrush (a fungal infection)\n', '\nhigh blood sugar\n', '\nlow potassium level\n', '\nsigns of a hormonal disorder\n']",Advair Diskus,
"/drug-interactions/ibuprofen,advil-index.html",['ibuprofen'],Nonsteroidal anti-inflammatory drugs,Rx and/or OTC,67.6,38,Advil is a nonsteroidal anti-inflammatory drug (NSAID). Ibuprofen works by reducing hormones that cause inflammation and pain in the body.,"['\nchanges in your vision\n', '\nshortness of breath (even with mild exertion)\n', '\nswelling rapid weight gain\n', '\na skin rash, no matter how mild\n', '\nsigns of stomach bleeding \n', '\nliver problems \n', '\nlow red blood cells (anemia) \n', '\nkidney problems \n']",Advil,
"/drug-interactions/everolimus,afinitor-index.html",['everolimus'],,Prescription only,56.1,16,Afinitor is a cancer medicine that interferes with the growth of cancer cells and slows their spread in the body.,"['\nblisters ulcers in your mouth, red swollen gums, trouble swallowing\n', '\nlung problems \n', '\nsigns of infection \n', '\nkidney problems \n', '\nliver problems \n', '\nlow blood cell counts \n', '\nany wound that will not heal\n', '\na surgical incision that is red, warm, swollen, painful, bleeding, oozing pus\n']",Afinitor,
/drug-interactions/albuterol-index.html,albuterol inhalation,['Adrenergic bronchodilators'],Prescription only,31.8,371,Albuterol is a bronchodilator that relaxes muscles in the airways and increases air flow to the lungs.,"['\nwheezing, choking, other breathing problems after using this medicine\n', '\nchest pain, fast heart rate, pounding heartbeats fluttering in your chest\n', '\npain burning when you urinate\n', '\nincreased thirst, increased urination, hunger, dry mouth, fruity breath odor, drowsiness, dry skin, blurred vision, weight loss\n', '\nsigns of low potassium \n']",Albuterol,
"/drug-interactions/alectinib,alecensa-index.html",['alectinib'],['Multikinase inhibitors'],Prescription only,90.0,1,Alecensa is a cancer medicine that interferes with the growth and spread of cancer cells in the body.,"['\na very slow heart rate\n', '\na light\n', '\nunexplained muscle pain, tenderness, weakness\n', '\nlung problems \n', '\nlow red blood cells (anemia) \n', '\nkidney problems \n', '\nliver problems \n']",Alecensa,
